近七天的总销售额	近七天有销售额
2018年总营业额最高的公司	2018年营业额最高有公司
2018年每月订单趋势	2018年每月订单量有趋势
2018年的总销量	2018年有销量
2019年的男女比例	2019年有男女比例
2月每天的平均工作时长	2月每天有工作时长
2月费用明细	2月有费用明细
GDP（元）大于2.77E9的省份	GDP大于2.77E9有省份
GDP（元）最大的十个省份	GDP最大有十个省份
GDP第一产业（元）最大的十个省份	GDP第一产业最大有十个省份
一吻定情单日票房	《一吻定情》有单日票房
08年以来上海每年的平均人口	08年以来上海市每年有人口
三季度上海的农村人口和城镇人口	三季度上海市有农村人口、城镇人口
三点到五点的数据	三点到五点有数据
上季度每月的平均AQI指数	上季度每月有平均AQI指数
上映时间在2017年的电影	2017年有电影
上海近5季度每季度的农村人口增长率和城镇人口增长率	上海市近5季度每季度有农村人口增长率、城镇人口增长率
上海近十二年每年的农村人口增长率和城镇人口增长率	上海市近十二年每年有农村人口增长率、城镇人口增长率
下午三点到四点上海的农村人口和城镇人口	下午三点到四点上海市有农村人口、城镇人口
不同一级部门不同二级部门的平均工作时长	不同一级部门、不同二级部门有平均工作时长
不同一级部门的平均工作时长	不同一级部门有平均工作时长
不同公司名的平均股价	不同公司名有平均股价
不同区域的平均工作时长	不同区域有平均工作时长
不同危险程度的情报数量	不同危险程度有情报编号
不同地区员工的平均工作时长	不同地区员工有平均工作时长
不同城市的平均受伤人数	不同城市有受伤人数
不同子公司的平均成交量	不同子公司有成交量
不同季度的平均城镇居民人均消费支出	不同季度有城镇居民人均消费支出
不同岗位的平均工作年限	不同岗位有平均工作年限
不同省份每年的总男性人口	不同省份每年有男性人口
不同省份的平均最高气温	不同平均有最高气温
不同项目的平均发生成本	不同项目有平均发生成本
不同风向的平均最低气温	不同风向有平均最低气温
二月各一级部门员工的平均工作时长	二月各一级部门员工有平均工作时长
二月员工每天的平均工作时长	二月员工每天有平均工作时长
二月商务与解决方案部的平均工作时长	二月商务与解决方案部有平均工作时长
二月工作时长小于8小时的员工	二月工作时长小于8小时有员工
二月市场商务部每个岗位的平均工作时长	二月市场商务部每个岗位有平均工作时长
二月平台支持研发部门不同岗位的平均工作时长	二月平台支持研发不同岗位有平均工作时长
二月平台支持部工作时长小于7小时的员工	二月平台支持工作时长小于7小时有员工
二月平台支持部的数据	二月平台支持有数据
二月每天的平均工作时长	二月每天有平均工作时长
云南的售票记录。	云南省有售票记录
云南省的男性人口	云南省有男性人口
京东商城的总利润	京东商城县有利润
人口前三的年份	人口前三有年份
人口最多的城市	人口最多有城市
今天15:00到16:00的数据	今天15点到16点有数据
价格最高的电影	价格最高有电影
入职时间最早的员工	入职时间最早有员工
全年每月的销售利润趋势	全年每月利润有趋势
全年的利润	全年有利润
全年的总票房	全年有票房
全年销售趋势	全年销售量有趋势
公司名是泰山集团的平均涨跌	公司名有泰山区集团有平均涨跌
公司名是泰山集团的平均股价	公司名有泰山区集团有平均股价
再看一下数据	数据
冯小刚的影片	冯小刚有电影名称
冯小刚的电影	冯小刚有电影名称
凌晨两点到五点的数据	凌晨两点到五点有数据
分数前十的人	分数前十有人
分数排名前十的人	分数前十有人
刘德华电影的评分	刘德华有电影评分
利润	有利润
前六个月交通情况	前六个月有交通情况
剧情电影的各主演的总票房	剧情电影各主要演员有票房
剧情电影的各编剧的总票房	剧情电影各编剧有票房
剧情电影的数据	剧情电影有数据
北京1949年到1953年份人口的趋势	北京市1949年到1953年份人口有趋势
北京2012年人口	北京市2012年有人口
北京市的总人口	北京市有人口
北京每月的订单数	北京市每月有订单数
北京近10年人口增长率	北京市近10年有人口增长率
十一月份营业额最高的公司	十一月份营业额最高有公司
十月一号到七号的数据	十月一号到七号有数据
十条数据	数据
华北地区近十年每年的农村人口增长率和城镇人口增长率	华北地区近十年每年有农村人口增长率、城镇人口增长率
单价最高的电影	电影单价最高有电影
厦门的天气	厦门有天气
去年11月利润多少	去年11月有利润
去年3季度每月的平均AQI指数	去年3季度每月有平均AQI指数
去年三月到今年5月上海的农村人口和城镇人口	去年三月到今年5月上海市有农村人口、城镇人口
去年三月到四月上海的农村人口和城镇人口	去年三月到四月上海市有农村人口、城镇人口
去年八月到十一月的数据	去年八月到十一月有数据
去年各物品种类的比例	去年各物品种类有比例
去年各类别订单数占比	去年各类别订单量有占比
去年各订单类别数量占比	去年各订单种类有占比
去年每个月的销售额	去年每月有销售额
去年每月订单趋势	去年每月订单量有趋势
去年每月订单量	去年每月有订单量
去年每月销售额	去年每月有销售额
去年订单种类分布	去年订单种类有分布
发生成本按项目的占比	发生成本按项目有占比
受伤人数前十的国家	受伤人口前十有国家
受伤人数排名前十五的国家	受伤人口前十五有国家
受伤人数排序前二十的国家	受伤人口前二十有国家
受伤人数降序排序	受伤有人口降序排序
只看银色的车辆	银色有车辆
只看面包车	面包车
各一级部门的平均工作时长	各一级部门有平均工作时长
各个岗位的平均工作年限	各个岗位有平均工作年限
各个电影单日票房	各个电影有单日票房
各个省份的人口总数	各个有人口
各地区的人口数量	各地区有人口
各地区的工作时长	各地区有工作时长
各地区的平均工作时长	各地区有平均工作时长
各地区的总人口数	各地区有人口
各地区的犯罪率	各地区有犯罪率
各导演的平均票房	各导演有平均票房
各导演的影片数	各导演有电影数
各导演的总票房	各导演有总票房
各导演的电影数	各导演有电影数
各岗位的工作时长	各岗位有工作时长
各岗位的工作时长前五名	各岗位有工作时长前五名
各岗位的工作时长排名	各岗位有工作时长排名
各岗位的工作时长排序	各岗位有工作时长排序
各影城的总销售额分布	各影城有销售额分布
各影城的总销售额占比	各影城有销售额占比
各影城的销售数量	各影城有销量
各影城的销售额分布	各影城销售额有分布
各影片的平均票房	各影片有平均票房
各影片的票房	各影片有票房
各物品种类总销售额占比	各物品种类有销售额占比
各物品种类的比例	各物品种类有比例
各物品种类的物品种类	各物品种类有物品种类
各物品种类销售额占比	各物品种类有销售额占比
各电影的实时票房	各电影有实时票房
各电影的总票房	各电影有总票房
各电影的票房情况	各电影有票房
各类别总销售额占比	各类别有销售额占比
各类型实时票房占比	各类型有实时票房占比
各类型平均电影票房和平均电影评分	各类型电影有平均票房、平均电影评分
各类型电影票房占比	各类型电影有票房占比
各类型电影票房的占比	各类型电影有票房占比
各类型的平均票房和评分	各类型有平均票房、评分
各类型的票房比例	各类型有票房比例
各部门迟到最多的人	各部门迟到最多有人
合同金额最大的十个id	合同金额最大有十个id
同比增长率大于-0.0112的公司名	同比增长率大于-0.0112有公司名
员工045的数据	员工045有数据
员工数	员工数
周星驰参与的电影	周星驰有电影
周星驰拍的电影	周星驰有电影
四川	四川省
四川人口男女比例	四川省有男女比例
四川小雨的城市一共多少	四川省小雨有城市
四川每年的人口增长率	四川省每年有人口增长率
四川的人口	四川省有人口
四川的人口数量	四川省有人口
四川的车辆	四川省有车牌号
四川的面包车数据	四川省有面包车
四川省的人口总数	四川省有人口
四川省的人口数量	四川省有人口
地区数	地区数
城市是成都的平均城镇人口（万人）	成都市有平均城镇人口
城市是成都的平均男女比例	成都市有平均男女比例
城市是杭州的人口	杭州有人口
城镇人口大于287万的城市	城镇人口大于287万有城市
城镇人口（万人）按城市的占比	城镇人口按城市有占比
城镇人口（万人）按省份的占比	城镇人口按省份有占比
城镇人口（万人）最大的十个省份	城镇人口最大有十个省份
城镇人口和农村人口所占比例	城镇人口、农村人口有比例
城镇人口大于570万的年份	城镇人口大于570万有年份
城镇人口按城市的占比	城镇人口按城市有占比
城镇居民人均可支配收入最大的十个年份	城镇居民人均可支配收入最大有十个年份
城镇居民人均消费支出按年份的占比	按年份有城镇居民人均消费支出占比
新喜剧之王的单日票房	新喜剧之王有单日票房
流浪地球的单日票房	流浪地球有单日票房
女生都喜欢的车的颜色	女生都喜欢有车有颜色
学号是6的分数	第6有分数
学号是6的平均分数	第6有平均分数
学号是6的数学课的分数	第6数学课有分数
安徽省1953年数据	安徽省1953年有数据
宝龙地区人口数据	宝龙有人口
实时票房最高的电影名	最高实时票房有电影名称
寻找，东川，所有的车牌号	东川区有车牌号
山西省的人口数量。	山西省有人口
川a68956的车主	川a68956有车主
川a68956的车辆违章信息	川a68956有车辆违章信息
工作小于8小时的员工	工作时长小于8小时有员工
工作年限大于2年的员工	工作年限大于2年有员工
工作年限大于2的员工	工作年限大于2年有员工
工作年限大于三的员工	工作年限大于3年有员工
工作年限大于二的员工	工作年限大于2年有员工
工作年限大于等于2年的员工	工作年限大于等于2年年有员工
工作年限大于等于2的员工	工作年限大于等于2有员工
工作年限最多的员工	工作年限最多有员工
工作年限超过4年的员工	工作年限超过4年有员工
工作时长低于8小时的人	工作时长低于8小时有员工
工作时长低于8小时的员工信息	工作时长低于8小时有员工编号
工作时长最多的员工	工作时长最多有员工
工作时长最长的员工	工作时长最长有员工
平台支持各二级部门的平均工作时长	平台支持各二级部门有平均工作时长
平台支持研发部的各岗位的平均工作时长	平台支持研发部有各岗位有平均工作时长
平台支持部工作时长小于7小时的员工	平台支持工作时长小于7小时有员工
平台支持部的平均工作时长	平台支持有平均工作时长
平均工作时长最高的地区	平均工作时长最高有区名
年龄大于30.0的缴纳人照片	年龄大于30.0有缴纳人照片
年龄大于35.0的车主姓名	年龄大于35.0有车主姓名
年龄最大的十个缴纳人姓名	年龄最大有十个缴纳人姓名
年龄最大的十个缴纳人照片	年龄最大有十个缴纳人照片
年龄最大的十个身份证号	年龄最大有十个身份证号
年龄最大的十个车主姓名	年龄最大有十个车主姓名
年龄最大的十个车主照片	年龄最大有十个车主照片
广东省的总男性人口	广东省有男性人口
广东省的总男性人口。	广东省有男性人口
广东省的数据	广东省有数据
泰山集团近一个月的股价趋势	泰山区集团近一个月有股价趋势
性别分布	有性别分布
总人数	有人口
总销售数量	有销量
成交量大于13131.0的公司名	成交量大于13131.0有公司名
成交量最大的十个子公司	成交量最大有十个子公司
成都的人口数量	成都有人口
我们销售了的门票的数量	有票房
所有电影单日票房	电影有单日票房
所有的数据	有数据
打开11月1日到10月12日的，负面舆情数，评论数趋势	11月1日到10月12日有负面舆情数、评论数趋势
找出10月2日上午2点至5点的车辆信息	10月2日上午2点至5点有车牌号
找出今天2点至5点在昭通、会泽、东川、寻甸路段的全部车辆	今天2点至5点在昭通、会泽县、东川区、寻甸路段有车辆
找出十月二号2点至5点在昭通、会泽、东川、寻甸路段的全部车辆	十月二号2点至5点在昭通、会泽县、东川区、寻甸路段有车辆
找出十月二号下2点至5点在昭通、会泽、东川、寻甸路段的全部车辆	十月二号下午2点至5点在昭通、会泽县、东川区、寻甸路段有车辆
找出十月二号下午两点至五点在昭通、会泽、东川、寻甸路段的全部车辆	十月二号下午2点至5点在昭通、会泽县、东川区、寻甸路段有车辆
找出十月二号二点至五点在昭通、会泽、东川、寻甸路段的全部车辆	十月二号下午2点至5点在昭通、会泽县、东川区、寻甸路段有车辆
找出双流路段的所有车辆	双流区路段有车辆
找出外地牌照的车辆	外地牌照有车辆
找出白色且车速小于100的车	白色且车速小于100有车辆
找出白色的车	白色有车辆
找出经过东川、高仓、寻甸的全部车辆	东川区、高仓、寻甸有车辆
找出车辆速度最快的，车牌号	车辆速度最高有车牌号
找出车辆速度最高的，车牌号	车辆速度最高有车牌号
找出车辆颜色为银色的车辆	银色有车辆
找出车速小于100的车	车速小于100有车辆
找出速度小于100的车	车速小于100有车辆
找出颜色为银色的面包车	银色有面包车
技术开发部各岗位的平均工作时长	技术开发各岗位有平均工作时长
抓捕人数最大的十个国家	抓捕人口最大有十个国家
拍摄时间为10月2号上午2点到5点的车辆信息	10月2号上午2点到5点有车牌号
按id统计订单量	按id统计有订单量
按主演统计评分	按主演统计有评分
按城市/地级市统计人均GDP（元）	按城市/地级市统计有人均GDP
按城市统计人口	按城市统计有人口
按城市统计人口(万人)	按城市统计有人口
按城市统计农村人口	按城市统计有农村人口
按城市统计农村人口（万人）	按城市统计有农村人
按城市统计城镇人口（万人）	按城市统计有城镇人口
按城市统计女性人口（万人）	按城市统计有女性人口人口
按城市统计男性人口（万人）	按城市统计有男性人口
按子公司统计股价	按子公司统计有股价
按子公司统计评论数	按子公司统计有评论数
按季度统计居民人均可支配收入	按季度统计有居民人均可支配收入
按年份统计人口	按年份统计有人口
按年份统计城镇人口	按年份统计有城镇人口
按影城名称统计销售额	按影城名称统计有销售额
按微博话题统计heat	按微博话题统计有热门帖子
按微博话题统计评论数	按微博话题统计有评论数
按月份统计福利费用	按月份统计有福利费用
按热门帖子统计帖子评论量	按热门帖子统计有帖子评论量
按热门帖子统计成交量	按热门帖子统计有成交量
按热门帖子统计评论数	按热门帖子统计有评论数
按省份统计人口	按省份统计有人口
按省份统计农村人口（万人）	按省份统计有农村人口
按省份统计总人口	按省份统计有人口
按空气质量统计AQI指数	按空气质量统计有AQI指数
按股票代码统计股价	按股票代码统计有股价
按车主姓名统计车辆速度（km/h）	按车主姓名统计有车辆速度
按车型统计年龄	按车型统计有年龄
按车牌所在地统计年龄	按车牌所在地统计有年龄
按车辆颜色统计年龄	按车辆颜色统计有年龄
时间为10月2号上午2点到5点的车辆信息	10月2号上午2点到5点有车牌号
时间为10月2号的车辆信息	{"norm_questions": [“10月2号有车牌号
昨天3点到4点上海的农村人口和城镇人口	昨天3点到4点上海市有农村人口、城镇人口
昨天3点到四点上海的农村人口和城镇人口	昨天3点到四点上海市有农村人口、城镇人口
昨天上午三点二十到四点上海的农村人口和城镇人口	昨天上午三点二十到四点上海市有农村人口、城镇人口
昨天上午三点到四点上海的农村人口和城镇人口	昨天上午三点到四点上海市有农村人口、城镇人口
昨天下午三点二十分到四点上海的农村人口和城镇人口	昨天下午三点二十分到四点上海市有农村人口、城镇人口
昨天下午三点二十分到四点五十五上海的农村人口和城镇人口	昨天下午三点二十分到四点五十五上海市有农村人口、城镇人口
昨天下午三点二十到四点上海的农村人口和城镇人口	昨天下午三点二十到四点上海市有农村人口、城镇人口
昨天下午三点二十到四点五十五上海的农村人口和城镇人口	昨天下午三点二十到四点五十五上海市有农村人口、城镇人口
昨天下午三点到四点上海的农村人口和城镇人口	昨天下午三点到四点上海市有农村人口、城镇人口
昨天十一点上海的农村人口和城镇人口	昨天十一点上海市有农村人口、城镇人口
昨天涨幅最高的十只股票	昨天涨幅最高有十只股票
最低气温大于-19的省份	最低气温大于-19有省份
最低气温最大的十个省份	最低气温最大有十个省份
最贵的电影票	最贵有电影单价
最贵的那场电影	最贵有电影单价
最近10年四川省的天气数据	最近10年四川省有天气状况
最高气温大于5的省份	最高气温大于5有省份
最高气温最大的十个省份	最高气温最大有十个省份
有几辆车	有车
杭州的工作时长	杭州有工作时长
查找2010年北京市人口数量。	2010年北京有人口
查找2010年广东省人口数量。	2010年广东省有人口
查找查看巡店路段的所有	巡店路段有
查查一下近一个月的股价趋势	近一个月有股价趋势
查查泰山集团七个月的股价趋势	泰山区集团七个月有股价趋势
查看10月1日到11月12日的，评论数趋势	10月1日到11月12日有评论数趋势
查看10月5号到11月12号的负面与学术和评论数趋势	10月5号到11月12号有负面舆情数、评论数趋势
查看10月5号到11月2号的，负面舆情数趋势	10月5号到11月2号有负面舆情数趋势
查看11月8号，股价上涨最高的公司	11月8号股价上涨最高有公司名
查看2012年所有地区的人口数量	2012年区名有人口
查看一下数据	数据
查看食品公司每个季度的总营业额，同比增长率	食品公司每个季度有营业额、同比增长率
查看农行股价涨跌情况	农行股价有涨跌
查看各个省份的人口总数量	各有人口
查看各地区的总人口数量	各区名有人口
查看吉林省的男女人口比例	吉林省有男女比例
查看同行股价涨跌情况	同行股价有涨跌
查看山东省的总人口数量	山东省有人口
查看川A68956的车辆照片	川A68956有车辆照
查看川A68956的违章信息	川A68956有违章信息
查看成交量最低的公司	成交量最低有公司名
查看成交量最高的公司	成交量最高有公司名
查看所有违章车辆	违章车辆
查看数据	数据
查看泰山集团10月1日到10月12日的，负面舆情数，和评论数趋势	泰山集团10月1日到10月12日有负面舆情数、评论数趋势
查看泰山集团近一个月的股价趋势	泰山集团近一个月有股价趋势
查看泰山集团近两个月的股价趋势	泰山集团近两个月有股价趋势
查看爽口食品每个季度的总营业额及同比增长率	爽口食品每个季度有营业额、同比增长率
查看罗家和马修远的照片	罗家、马修远有照片
查看评论数前十的，负面帖子	评论数前十有负面帖子
查看评论数排名前十的，负面帖子	评论数排名前十有负面帖子
查看评论数最多的帖子	评论数最多有帖子
查看评论数最高的十个帖子	评论数最高有十个帖子
查看车主照片	有车主照片
查看车辆照片	有车辆照
查看马修远和罗家的照片	马修远、罗家有照片
查询数据	数据
样例数据	样例数据
正式人员人数	有正式员工数
正式员工数	有正式员工数
每一部电影的票房变化	每部电影有票房变化
每个地区的平均工作时长	每个区名有平均工作时长
每个导演的影片数	每个导演有电影数
每个月的销售额	每个月有销售额
每年三月到四月上海的农村人口和城镇人口	每年三月到四月上海市有农村人口、城镇人口
每年不同省份的总男性人口	每年各有男性人口
每年二月三号到三月十号的数据	每年二月三号到三月十号有数据
每年六月一号到八月一号的总农村人口	每年六月一号到八月一号有农村人口
每年六月一号的总农村人口	每年六月一号有农村人口
每年六月到十月的平均GDP（元）	每年六月到十月有平均GDP
每年六月的平均农村居民人均消费支出	每年六月有平均农村居民人均消费支出
每年六月的平均合同金额	每年六月有平均合同金额
每年温度环比增长值	每年有温度环比增长值
每年的平均城镇人口（万人）的增长趋势	每年平均城镇人口有增长趋势
每年的平均男女比例的增长趋势	每年平均男女比例有增长趋势
每年的平均营业额的增长趋势	每年平均营业额有增长趋势
每月总利润趋势	每月有利润趋势
每月总合同金额趋势	每月有合同金额趋势
每月电影的总利润	每月电影有利润
每月的平均人口(万人)	每月有平均人口
每月的平均农村居民人均消费支出	每月平均农村人口有人均消费支出
每月的平均利润	每月有平均利润
每月的总平均速度	每月有平均速度
每月订单量	每月有订单量
每月销售利润	每月有销售利润
每月销售利润趋势	每月有销售利润趋势
每部电影名的总实时票房（万）	每部电影名有实时票房
汉语普通话电影中，不同片长的平均票房	汉语普通话电影不同片长有平均票房
汉语普通话电影每月上映的电影数量	汉语普通话电影每月上映有电影数
汉语普通话电影每月的电影数量	汉语普通话电影每月有电影数
汉语普通话电影每月的票房	汉语普通话电影每月有票房
泰山集团每天的股价增长趋势	泰山集团每天有股价增长趋势
泰山集团的股价增长趋势	泰山集团股价增长有趋势
泰山集团近一个月股价涨跌趋势	泰山集团近一个月股价涨跌有趋势
流浪地球和飞驰人生的每日总票房	流浪地球、飞驰人生有单日票房
涨跌按公司名的占比	涨跌按公司名有占比
涨跌按子公司的占比	涨跌按子公司有占比
点赞量和阅读量	有点赞量、阅读量
爽口食品每个季度的总营业额及同比增长率	爽口食品每个季度有营业额、同比增长率
班级是121的数学不及格的十人	121班级学不及格有十人
班级是121的数学成绩最高的十人	121班级学成绩最高有十人
电影价格最高的电影	电影价格最高有电影名称
电影单价排名	电影名称有单价排名
电影票单价大于67的电影	电影单价大于67有电影名称
男女比例大于1.0的城市	男女比例大于1.0有城市
男女比例大于1.1的城市	男女比例大于1.1有城市
男女比例最大的十个省份	男女比例最大有十个省份
男性人口比女性人口少的年份	男性人口少于女性人口人口有年份
省份计数	省份数
看看同行股价涨跌情况	同行股价有涨跌
看评论数最高的帖子	评论数最高有帖子
票房最高的影片	最高票房有电影名称
票房最高的电影	最高票房有电影名称
科大讯飞的股票	科大讯飞有股票代码
第四季度营业额	第四季度有营业额
第四季度营业额最高的公司	第四季度营业额最高有公司名
筛选近三年的数据	近三年有数据
经过寻甸路段的车辆	寻甸路段有车辆
股价最高的公司是哪一家	最高股价有公司名
股价最高的公司是哪家	最高股价有公司名
股价涨跌最多的公司	股价涨跌最多有公司名
股价涨跌最高的十家公司	股价涨跌最高有十家公司名
股票代码是627111的平均帖子评论量	股票代码有627111有平均帖子评论量
股票代码是627111的平均评论数	股票代码有627111有平均评论数
营业额大于9696.0的公司名	营业额大于9696.0有公司名
营业额最大的十个公司名	营业额最大有十个公司名
评分大于8的电影	评分大于8有电影名称
评分超过7的电影	评分超过7有电影名称
评论最恶毒的帖子	评论最恶毒有帖子
负面舆情数量和评论数趋势	有负面舆情数、评论数趋势
费用构成	费用构成
路段是金堂路的数据	路段有金堂县路有数据
身份证号是110103197711052116的平均车辆速度（km/h）	身份证号有110103197711052116有平均车辆速度
车主是女性的车辆	车主有女性人口有车辆
车型不是面包车的车辆	车型不有面包车有车辆
车牌不是云南的车辆信息	车牌不有云南省有车牌号
车牌号数量	有车牌号
车牌号是川a68956的车辆违章信息	车牌号有川a68956有车辆违章信息
车牌所在地不在云南的车辆	车牌所在地不在云南省有车辆
车牌所在地不是云南的车辆	车牌所在地不有云南省有车辆
车辆速度（km/h）大于100.0的车牌号	车辆速度大于100.0有车牌号
车辆颜色是黑色的平均年龄	车辆颜色有黑色有平均年龄
转发数按微博话题的占比	转发数按微博话题有占比
转正时间最早的员工	转正时间最早有员工
转正时间最晚的员工	转正时间最晚有员工
近10天上海的平均人口数	近10天上海市有平均人口
近10年上海的平均人口数	近10年上海市有平均人口
近三季度上海的农村人口和城镇人口	近三季度上海市有农村人口、城镇人口
近三年上映的电影导演与票房	近三年有导演、票房
近二十季度上海每年的农村人口增长率和城镇人口增长率	近二十季度上海市每年有农村人口增长率、城镇人口增长率
近十天点赞阅读量	近十天有点赞量、阅读量
近十天的点赞量和阅读量	近十天有点赞量、阅读量
近十天阅读人数	近十天有阅读量
近十年全国人口趋势	近十年全国有人口
近十年四川成都每年的男女比例增长趋势	近十年四川省成都市有男女比例趋势
逾期次数统计	统计有逾期次数
逾期百分比的中位数	逾期百分比有中位数
逾期百分比的平均值	逾期百分比有平均值
逾期百分比趋势	逾期百分比有趋势
那个影城的销售数量最多	销量最多有影城名称
那个省份的人口最多	人口最多有省份
银色的面包车车辆信息	银色面包车有车牌号
银色面包车	银色有面包车
银色面包车车主	银色面包车有车主姓名
销售数量	有销量
销售额分布	销售额有分布
销售额最多的影城	销售额最多有影城
门票的数量	门票数量
阿坝2017年最低气温	阿坝县2017年有最低气温
阿坝平均气温	阿坝县有平均气温
陕西省女性人口	陕西省有女性人口人口
面包车	面包车
韩寒	韩寒
韩寒拍的电影	韩寒有电影名称
韩寒拍的电影数据	韩寒有电影名称
韩寒的数据	韩寒有数据
韩寒的电影的数据	韩寒有电影名称
飞驰人生单日票房	飞驰人生有单日票房
飞驰人生的每日总票房	飞驰人生有单日票房
黑龙江	黑龙江县省
去年六月上海和北京的利润	去年六月上海市、北京市有利润
去年六月上海和北京的总利润	去年六月上海市、北京市有利润
哪场电影最贵	电影单价最高有电影
哪里的人口最多	人口最多有省份
哪个城市的男性人口没有女性人口多	男性人口少于女性人口人口有城市
女性人口比男性人口多的城市	女性人口人口多于男性人口有城市
比安徽人口多的城市	大于安徽省人口有城市
这个月平均工作时长小于八小时的人	这个月平均工作时长小于八小时有人
人口大于100万的城市	人口大于100万有城市
平均工作时长比别人少的员工都有谁	平均工作时长最少有员工
一线城市的总人口	一线城市有人口
上一季度华东地区的销售额	上一季度华东地区有销售额
上一季度华东各地区的销售额	上一季度华东各地区有销售额
平均成绩不足60分的学生	平均成绩不足60分有学生
平均分最高的学生	平均分最高有学生
车牌号第一个字是川的车辆	车牌号第一个字川有车辆
1986年上海浦东的人口数	1986年上海市浦东有人口
车牌号第一个字是皖的车辆	车牌号第一个字皖有车辆
价格最低的电影	电影单价最低有电影
1986年上海浦东的人口数量	1986年上海市浦东有人口
不同地区员工的平均工作时长是多少	不同地区员工有平均工作时长
1986	1986
今天天津天气	今天天津市有天气
天津市2019年的GDP	天津2019年有GDP
人口老龄化	有人口老龄化
电话诈骗	电话诈骗
学习	学习
玩游戏	玩游戏
睡觉	睡觉
结婚	结婚
毕业	毕业
实习	有实习
宿舍	宿舍
防盗号	防盗号
密码	密码
够了	够了
变形金刚的主演	变形金刚有主演
天大在哪里	天大有哪里
天津空气质量如何	天津市有空气质量
最近有什么好看的电影	最近有电影
天津的pm2.5	天津市有pm2.5
今天的热门帖子	今天有热门帖子
如何一夜暴富	如何一夜暴富
张丹峰有没有出轨	张丹峰出轨
计算理论成绩什么时候出	计算理论有成绩
如何办理出国护照	如何办理出国护照
今天天气如何	今天有天气
如何管理班级	管理有班级
今天四川路堵车吗	今天四川省路有堵车
今天空气质量怎么样	今天有空气质量
三班小明数学考了多少分?	三班小明数学有分数
天津今天有没有雾霾	天津市今天有雾霾
这个月的订单量	这个月有订单量
空气质量指数包含什么	有空气质量指数
空气质量指如何计算	空气质量有指数计算
今天上映的电影有什么	今天上映有电影
中国目前有多少人口	中国目前有人口
2018年中国的人口增长率	2018年中国有人口增长率
最近十年中国的人口增长变化	最近十年中国有人口增长率
2019年新增人口数量	2019年有新增人口量
成龙主演的电影	成龙有电影
